Category,Start,Stop
"Management, Business and Financial Operations",10,960
Computer and Mathematical Occupations,1005,1980
"Education, Legal, Community Service, Arts, and Media Occupations",2001,2920
Healthcare Practitioners and Technical Occupations,3000,3550
Service Occupations,3601,4655
Sales and Related Occupations:,4700,4965
Office and Administrative Support Occupations:,5000,5940
"Natural Resources, Construction, and Maintenance Occupations",6005,7640
"Production, Transportation, and Material Moving Occupations",7700,9920
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
