state,senate_battle,gov_battle,house_battle
Alabama,1,1,1
Alaska,1,1,1.5
Arizona,2.5,2.5,1
Arkansas,1,1.5,1
California,1,1,2.5
Colorado,1.5,1,2.5
Connecticut,1,1.5,1.5
Delaware,1,1,1
District of Columbia,1,1,1
Florida,2,1.5,1
Georgia,2.5,2.5,1.5
Guam,1,1,1
Hawaii,1,1,1
Idaho,1,1,1
Illinois,1,1,2.5
Indiana,1,1,2.5
Iowa,1,1,1
Kansas,1,2.5,2.5
Kentucky,1,1,1
Louisiana,1,1,1
Maine,1,2,2.5
Maryland,1,2,2
Massachusetts,1,1.5,1
Michigan,1,2.5,2.5
Minnesota,1,1.5,2.5
Mississippi,1,1,1
Missouri,1,1,1
Montana,1,1,1.5
Nebraska,1,1,1.5
Nevada,2.5,2.5,2.5
New Hampshire,2,1,1
New Jersey,1,1,1.5
New Mexico,1,1.5,2.5
New York,1,1,1
North Carolina,2,1,2.5
North Dakota,1,1,1
Ohio,2,1.5,2.5
Oklahoma,1,1,1
Oregon,1,1.5,2
Pennsylvania,2.5,2,2.5
Puerto Rico,1,1,1
Rhode Island,1,1,2
South Carolina,1,1,1
South Dakota,1,1,1
Tennessee,1,1,1
Texas,1,1.5,2.5
Utah,1,1,1
Vermont,1,1,1
Virginia,1,1,2.5
Washington,1,1,2.5
West Virginia,1,1,1
Wisconsin,2.5,2.5,1
Wyoming,1,1,1
