state,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total,694193,757434,779929,653416,730259,753060,707265,761901,843593,628254,809388,602780
Alabama,2439,2084,1811,1266,2834,2331,1045,2468,2982,3490,5151,6029
Alaska,1115,1186,1083,1076,964,972,1011,1379,1144,624,951,519
Arizona,12784,13090,13165,11268,13748,11374,12462,12072,14277,13672,16978,16259
Arkansas,1559,1605,1567,1671,1576,1809,1328,2070,2327,2182,1589,1490
California,151183,158850,164792,140234,155979,151830,157364,163059,148765,112738,174659,132361
Colorado,7805,7726,6263,5965,9423,8679,6104,7973,10840,8263,8959,6829
Connecticut,8370,8332,9253,8336,9838,9317,7441,10152,8460,6813,9432,7596
Delaware,1470,1456,1460,1175,1633,1386,1453,1546,1547,1034,NA,NA
District of Columbia,1016,1958,1854,1626,1684,1736,1944,1606,2090,1464,18229,12769
Florida,87309,100890,101773,79637,81960,88764,69485,95978,96149,78641,109328,89420
Georgia,17761,17093,19534,15242,20794,18866,16461,16590,25858,18694,11396,8239
Hawaii,3450,3144,3494,2931,3698,3673,3491,2666,4110,2522,3921,2406
Idaho,1473,1384,1305,1560,1427,1533,1994,2103,1660,1390,1414,1184
Illinois,29133,28376,27706,26224,25722,26003,24933,26477,30472,19835,22675,14760
Indiana,4085,4146,4369,4274,4686,5113,6420,6578,7386,5107,5553,3840
Iowa,1840,2255,2503,2000,2574,2805,2677,3610,4984,3539,3187,2263
Kansas,2687,2905,2761,2743,2830,3050,3152,3936,3875,3035,1282,1004
Kentucky,2778,2686,3341,2663,2846,3054,3445,4330,4723,2627,5125,2851
Louisiana,2496,2344,2543,2616,2956,2846,2160,2986,3130,3650,2719,3171
Maine,999,941,988,909,1102,983,1039,1124,1076,710,1140,752
Maryland,15790,16160,17752,13707,18390,19775,17729,12434,19349,19878,19822,20364
Massachusetts,22812,22753,21404,21608,23554,24577,27739,24826,22894,20367,25770,22926
Michigan,10414,11069,12950,11809,12473,13576,12725,14338,16464,9074,11816,6512
Minnesota,11044,12016,10526,9176,7533,8573,7834,8348,14092,12016,11181,9534
Mississippi,965,972,973,931,946,990,662,1126,1138,972,NA,NA
Missouri,4175,4794,4817,4250,4318,4657,5109,5274,5501,4050,6770,4984
Montana,297,325,294,304,249,314,347,401,361,290,481,386
Nebraska,1876,2039,2418,2348,2221,2405,2422,3168,3662,2705,4093,3023
Nevada,8519,7667,8507,7891,7900,8923,7438,7369,9046,10200,8078,9109
New Hampshire,1607,1507,1589,1413,1570,1501,1897,1815,1585,986,1948,1212
New Jersey,33826,42622,41173,32939,34857,40344,38611,40089,36661,22185,38855,23513
New Mexico,2434,2689,2371,2426,2452,2524,3312,3580,3363,2285,1741,1183
New York,76603,93584,107330,77717,90368,93376,86407,81404,85444,56273,89318,58824
North Carolina,11360,11848,12150,11160,11569,12492,13890,13622,17314,13261,13269,10163
North Dakota,369,377,532,525,561,1046,607,514,719,683,NA,NA
Ohio,9326,10194,10664,9032,9580,10029,12427,14002,14004,9553,11841,8077
Oklahoma,2966,3133,3487,2472,3858,3953,3769,4051,3790,2553,4330,2917
Oregon,5657,5872,5784,4363,6130,7173,6382,7757,6715,4398,9475,6206
Pennsylvania,16162,16470,17813,14500,16554,17239,14898,19007,21014,12925,21994,13528
Rhode Island,2682,2854,2816,2479,2728,2736,3415,3046,2312,1476,2958,1888
South Carolina,4033,4124,4770,4486,4611,4159,5033,3897,3995,3436,4425,3806
South Dakota,420,467,464,676,542,647,632,625,780,834,NA,NA
Tennessee,5396,5557,5004,4613,5381,5371,3645,5518,6720,7449,5737,6359
Texas,52927,57762,57947,52879,65467,63945,50552,64685,97675,66942,75676,51865
Utah,3595,3848,3026,4314,4838,3775,3141,3408,5365,5226,4028,3924
Vermont,431,546,496,552,570,589,760,693,614,391,643,409
Virginia,13782,24224,22279,19646,18391,20437,21930,18118,23345,17360,4491,3340
Washington,17317,17524,17589,12246,14341,21655,16030,14745,18510,15969,17388,15001
West Virginia,348,478,443,415,501,495,560,573,492,318,NA,NA
Wisconsin,4434,4379,4532,3770,3738,3825,3165,4715,5692,3556,4205,2627
Wyoming,228,220,242,217,257,233,247,256,330,208,NA,NA
Other,4220,4132,4121,3986,4433,4249,4179,3341,2869,2494,2451,1756
Unknown,6426,2777,2101,1150,1104,1353,4362,6453,15923,7911,2916,1449
