region_name,country_birth,new_natz_OH
Asia,Afghanistan,153
Europe,Albania,310
Africa,Algeria,260
Oceania,American Samoa,0
Europe,Andorra,0
Africa,Angola,7
Americas,Anguilla,0
Americas,Antigua and Barbuda,9
Americas,Argentina,140
Asia,Armenia,72
Americas,Aruba,0
Oceania,Australia,96
Europe,Austria,22
Asia,Azerbaijan,43
Americas,Bahamas,21
Asia,Bahrain,0
Asia,Bangladesh,266
Americas,Barbados,20
Europe,Belarus,115
Europe,Belgium,55
Americas,Belize,12
Africa,Benin,35
Americas,Bermuda,0
Asia,Bhutan,7569
Americas,Bolivia,42
Europe,Bosnia and Herzegovina,178
Africa,Botswana,0
Americas,Brazil,470
Asia,Brunei,0
Europe,Bulgaria,105
Africa,Burkina Faso,76
Asia,Burma,828
Africa,Burundi,58
Africa,Cabo Verde,0
Asia,Cambodia,225
Africa,Cameroon,516
Americas,Canada,975
Americas,Cayman Islands,0
Africa,Central African Republic,16
Africa,Chad,11
Americas,Chile,81
Asia,"China, People's Republic",2491
Americas,Colombia,386
Africa,Comoros,0
Africa,"Congo, Democratic Republic",394
Africa,"Congo, Republic",63
Oceania,Cook Islands,0
Americas,Costa Rica,71
Africa,Cote d'Ivoire,170
Europe,Croatia,85
Americas,Cuba,186
Americas,Curacao,0
Asia,Cyprus,13
Europe,Czechia,41
Europe,Czechoslovakia (former),21
Europe,Denmark,43
Africa,Djibouti,15
Americas,Dominica,3
Americas,Dominican Republic,637
Americas,Ecuador,192
Africa,Egypt,651
Americas,El Salvador,268
Africa,Equatorial Guinea,0
Africa,Eritrea,377
Europe,Estonia,18
Africa,Eswatini,0
Africa,Eswatini (formerly Swaziland),0
Africa,Ethiopia,1244
Americas,Falkland Islands,0
Oceania,Fiji,14
Europe,Finland,25
Europe,France,153
Oceania,French Polynesia,0
Africa,Gabon,17
Africa,Gambia,173
Asia,Georgia,74
Europe,Germany,407
Africa,Ghana,2180
Europe,Gibraltar,0
Europe,Greece,106
Americas,Greenland,0
Americas,Grenada,3
Oceania,Guam,0
Americas,Guatemala,254
Africa,Guinea,308
Africa,Guinea-Bissau,0
Americas,Guyana,114
