Region.Name,country_birth,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT.OF.COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO.RICO,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,U.S..ARMED.SERVICES.POSTS,U.S..TERRITORIES1,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING,UNKNOWN
Asia,Afghanistan,11246,13,0,232,0,3459,219,98,22,21,203,317,0,0,120,170,81,31,23,65,21,34,240,105,60,62,0,113,0,65,113,5,216,45,931,138,6,153,4,90,159,0,0,29,6,65,819,5,0,106,0,2076,278,0,26,3,142
Europe,Albania,12271,0,0,89,4,234,23,681,7,24,1142,59,0,4,10,677,19,9,0,4,0,12,104,1664,1721,16,0,148,0,3,67,45,659,3,2769,70,0,310,8,22,724,0,3,73,0,34,237,0,0,17,0,151,78,0,155,0,117
Africa,Algeria,5200,7,0,27,0,730,107,60,0,10,178,86,0,0,0,330,94,9,189,34,53,0,72,335,105,24,0,38,0,0,7,0,303,0,559,120,0,260,7,11,575,0,3,4,0,19,396,0,0,0,0,205,69,0,37,0,59
Oceania,American Samoa,1139,0,89,6,0,169,3,0,0,0,3,59,0,128,0,7,0,0,0,0,7,0,0,0,0,0,0,4,0,0,3,0,0,0,10,23,0,0,20,17,0,0,0,49,0,0,53,4,4,64,0,23,211,0,0,0,82
Europe,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Angola,633,0,0,3,0,32,3,11,0,4,53,8,0,0,0,8,0,0,0,0,6,0,14,148,0,0,0,0,0,0,0,0,40,0,46,24,0,7,3,0,24,0,29,0,0,0,66,0,0,0,0,16,0,0,0,0,8
Americas,Anguilla,114,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
Americas,Antigua and Barbuda,1701,4,0,3,0,25,0,36,3,0,270,81,0,0,0,3,0,0,0,0,3,0,42,59,0,0,0,3,0,0,0,0,96,0,609,34,0,9,0,0,37,0,3,6,0,4,49,0,195,0,0,25,0,0,0,0,19
Americas,Argentina,18318,46,15,124,41,2460,204,285,12,81,6626,347,0,40,22,292,82,40,37,48,62,12,337,342,144,101,15,100,4,18,210,11,892,31,1506,287,0,140,45,104,276,129,25,124,3,102,1173,0,0,347,0,498,195,6,71,4,150
Asia,Armenia,10774,0,0,27,0,8372,51,22,0,11,126,22,0,0,3,62,6,3,4,3,3,0,88,237,40,16,0,5,0,0,194,0,157,3,545,25,0,72,0,22,78,0,19,37,0,16,89,0,0,58,0,70,116,0,4,0,90
Americas,Aruba,184,0,0,0,0,3,0,0,0,0,52,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Oceania,Australia,7443,30,25,145,19,1731,274,106,6,37,395,162,0,77,34,220,61,35,46,38,33,23,97,231,133,94,6,70,21,17,115,39,189,36,753,184,3,96,30,150,164,0,21,61,4,104,493,0,0,116,14,169,344,3,61,11,75
Europe,Austria,1010,0,0,27,0,225,23,6,0,0,109,33,0,3,0,18,3,0,0,0,0,0,13,28,20,6,0,6,0,0,0,0,40,0,109,26,0,22,0,10,20,0,0,3,0,4,39,0,0,8,0,30,29,0,4,0,9
