"state","Africa","Americas","Asia","Europe","Oceania","Unknown","Global"
"TOTAL",346882,1594967,1373056,346088,17902,1475,3694073
"ALABAMA",1203,3784,5869,1105,45,4,12316
"ALASKA",298,967,2566,703,209,1,5130
"ARIZONA",4367,35307,18679,4939,308,20,63857
"ARKANSAS",401,5013,3410,483,32,4,9716
"CALIFORNIA",23614,298491,355638,48996,6633,233,733756
"COLORADO",6039,15884,13591,5719,441,11,41859
"CONNECTICUT",3116,19427,11369,7916,134,8,42183
"DELAWARE",1415,2195,2555,496,9,2,6966
"DISTRICT.OF.COLUMBIA",3000,2796,1514,1160,45,1,8840
"FLORIDA",10493,340938,45253,31365,602,191,429017
"GEORGIA",15510,34479,37773,8180,311,24,96469
"GUAM",0,9,3250,26,21,0,3453
"HAWAII",117,1097,13454,810,612,10,16462
"IDAHO",651,4005,2620,1047,60,3,8680
"ILLINOIS",9313,37639,52143,28119,299,56,127720
"INDIANA",4359,8467,14927,2538,78,14,30604
"IOWA",4227,4246,7456,1352,51,5,17615
"KANSAS",2373,6500,7034,797,46,7,17048
"KENTUCKY",3257,5103,7948,1539,50,5,18179
"LOUISIANA",975,5931,6378,1091,55,17,14772
"MAINE",1159,923,1701,776,41,1,4932
"MARYLAND",26428,24534,31914,5958,149,35,89165
"MASSACHUSETTS",18701,46336,38022,16782,327,61,120403
"MICHIGAN",4544,9859,41676,9700,175,38,66177
"MINNESOTA",20706,6990,19419,3400,134,10,50863
"MISSISSIPPI",293,1763,2238,259,9,2,4888
"MISSOURI",4003,5547,11051,3592,135,13,24591
"MONTANA",54,465,484,353,34,0,1713
"NEBRASKA",2668,4711,6129,502,17,6,14362
"NEVADA",2510,20392,16170,3393,270,3,42976
"NEW.HAMPSHIRE",777,2111,3227,1329,55,8,7784
"NEW.JERSEY",16124,77969,63996,19314,242,88,177890
"NEW.MEXICO",392,10869,2649,791,46,13,15064
"NEW.YORK",29528,184528,142189,45464,964,116,402904
"NORTH.CAROLINA",9893,25057,27916,7254,268,36,70579
"NORTH.DAKOTA",1468,425,1161,204,3,2,3569
"OHIO",14559,8214,30407,6446,157,40,60015
"OKLAHOMA",1951,7180,7592,1019,62,1,18116
"OREGON",2245,11364,12812,5339,423,8,32425
"PENNSYLVANIA",12476,22618,38095,11456,262,25,85083
"PUERTO.RICO",3,8677,161,213,0,6,9271
"RHODE.ISLAND",2676,6648,2003,1313,21,8,12985
"SOUTH.CAROLINA",1793,7905,6945,3466,148,11,20520
"SOUTH.DAKOTA",1013,447,1579,167,4,0,3518
"TENNESSEE",6101,7993,11728,2504,142,9,28703
"TEXAS",33480,176930,117185,15055,907,112,343799
"U.S..ARMED.SERVICES.POSTS",101,194,447,116,4,0,1167
"U.S..TERRITORIES1",0,2205,771,47,4,2,3241
"UTAH",1455,10781,6045,1598,744,5,20915
"VERMONT",291,449,1439,496,14,0,3047
"VIRGINIA",17350,27382,47695,8272,306,31,101190
"WASHINGTON",10223,19185,41417,14466,1411,12,86909
"WEST.VIRGINIA",323,584,997,233,3,1,2438
"WISCONSIN",2228,6268,9286,2864,94,7,20953
"WYOMING",39,507,294,144,17,0,1274
"UNKNOWN",4599,14679,12789,3422,269,149,36002
