"COUNTYFIP","Africa","Americas","Asia","Europe","Oceania","TOTAL"
0,5118,18943,49451,24198,396,98106
3,0,937,1006,164,0,2110
7,0,166,860,886,0,1919
17,3199,6040,16221,5779,1118,32374
23,0,178,828,960,0,1989
29,0,0,88,53,0,170
35,9411,14146,53286,38093,0,114971
41,3932,1515,10855,3017,140,19500
45,368,1078,3111,513,0,5115
49,60775,15377,53027,13539,2078,144845
57,596,881,3905,1387,224,7050
61,6107,8193,15546,10005,502,40414
89,1584,214,4256,635,0,6778
93,72,3361,2048,6458,0,12032
103,140,321,3938,3170,0,7672
109,0,1354,83,466,0,2012
113,5100,4652,16646,4536,392,31439
133,218,488,1230,1191,0,3260
139,0,1018,516,514,0,2187
153,1225,3002,20551,7960,97,32988
165,392,3692,11394,4652,0,20295
169,0,0,475,700,0,1344
