"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEFIP","COUNTYFIP","STRATA","GQ","PERNUM","PERWT","SEX","AGE","BPL","BPLD","CITIZEN","YRNATUR","YRSUSA1","OCC","INCTOT","INCWAGE","category"
2020,202001,813125,2020010001006,73,2020008131251,39,0,20039,3,1,73,2,78,499,49900,2,1983,58,0,16800,0,NA
2020,202001,813145,2020010001636,44,2020008131451,39,35,90839,4,1,44,2,19,401,40100,3,9999,2,9920,0,0,"Production, Transportation, and Material Moving Occupations"
2020,202001,813170,2020010002367,67,2020008131701,39,153,180339,4,1,67,2,19,542,54200,3,9999,0,0,0,0,NA
2020,202001,813208,2020010003222,58,2020008132081,39,153,180439,4,1,58,1,33,524,52400,3,9999,5,0,30000,0,NA
2020,202001,813222,2020010003586,48,2020008132221,39,93,80239,4,1,48,2,20,542,54200,3,9999,1,0,0,0,NA
2020,202001,813243,2020010004018,9,2020008132431,39,35,90839,4,1,9,2,19,401,40100,3,9999,2,9920,0,0,"Production, Transportation, and Material Moving Occupations"
2020,202001,813371,2020010007524,25,2020008133711,39,0,120039,3,1,25,2,94,521,52100,2,1975,56,0,25600,0,NA
2020,202001,813427,2020010008923,15,2020008134271,39,35,90839,4,1,15,1,18,521,52100,3,9999,9,9920,0,0,"Production, Transportation, and Material Moving Occupations"
2020,202001,813447,2020010009652,49,2020008134471,39,0,270039,4,1,49,2,18,521,52100,3,9999,1,5860,3000,3000,"Office and Administrative Support Occupations:"
2020,202001,813554,2020010012299,51,2020008135541,39,35,90939,4,1,51,2,19,401,40100,3,9999,2,9920,0,0,"Production, Transportation, and Material Moving Occupations"
2020,202001,813577,2020010012879,46,2020008135771,39,49,410539,4,1,46,1,18,500,50000,3,9999,1,4150,5700,5700,"Service Occupations"
2020,202001,813605,2020010013543,6,2020008136051,39,0,110039,4,1,6,2,38,502,50200,2,1983,37,4220,41000,41000,"Service Occupations"
2020,202001,813679,2020010015533,119,2020008136791,39,49,410739,4,1,119,1,48,515,51500,2,1995,30,7855,25600,25600,"Production, Transportation, and Material Moving Occupations"
2020,202001,813694,2020010015965,64,2020008136941,39,17,540339,4,1,64,1,20,500,50000,3,9999,19,9130,5500,5500,"Production, Transportation, and Material Moving Occupations"
2020,202001,813722,2020010016949,46,2020008137221,39,49,411039,3,1,46,1,34,200,20000,2,2007,15,6230,15000,15000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,813741,2020010017427,58,2020008137411,39,0,500039,4,1,58,2,19,500,50000,2,2014,1,51,300,300,"Management, Business and Financial Operations"
2020,202001,813761,2020010017867,68,2020008137611,39,113,460339,4,1,68,1,25,600,60075,3,9999,1,0,0,0,NA
2020,202001,813770,2020010018013,5,2020008137701,39,35,90839,4,1,5,2,21,300,30025,2,2012,18,5240,1100,1100,"Office and Administrative Support Occupations:"
2020,202001,813771,2020010018038,3,2020008137711,39,49,410539,4,1,3,2,18,150,15000,3,9999,17,5740,0,0,"Office and Administrative Support Occupations:"
2020,202001,813778,2020010018262,25,2020008137781,39,35,90939,4,1,25,1,22,518,51800,3,9999,4,2545,9600,9600,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,813811,2020010019147,30,2020008138111,39,0,480039,3,1,30,1,56,150,15000,1,9999,53,0,0,0,NA
2020,202001,813818,2020010019321,23,2020008138181,39,35,90839,4,1,23,1,19,500,50000,3,9999,1,0,0,0,NA
2020,202001,813826,2020010019478,45,2020008138261,39,169,200039,4,1,45,2,21,518,51800,3,9999,3,5240,0,0,"Office and Administrative Support Occupations:"
2020,202001,813967,2020010022812,6,2020008139671,39,35,90939,4,1,6,2,19,500,50000,2,2014,13,3603,3000,3000,"Service Occupations"
2020,202001,813981,2020010023123,81,2020008139811,39,0,30039,3,1,81,2,77,300,30050,2,1976,52,0,18000,0,NA
