"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEFIP","COUNTYFIP","STRATA","GQ","PERNUM","PERWT","SEX","AGE","BPL","BPLD","CITIZEN","YRNATUR","YRSUSA1","OCC","INCTOT","INCWAGE","category"
2020,202001,813125,2020010001006,73,2020008131251,39,0,20039,3,1,73,2,78,499,49900,2,1983,58,0,16800,0,NA
2020,202001,813371,2020010007524,25,2020008133711,39,0,120039,3,1,25,2,94,521,52100,2,1975,56,0,25600,0,NA
2020,202001,813605,2020010013543,6,2020008136051,39,0,110039,4,1,6,2,38,502,50200,2,1983,37,4220,41000,41000,"Service Occupations"
2020,202001,813679,2020010015533,119,2020008136791,39,49,410739,4,1,119,1,48,515,51500,2,1995,30,7855,25600,25600,"Production, Transportation, and Material Moving Occupations"
2020,202001,813722,2020010016949,46,2020008137221,39,49,411039,3,1,46,1,34,200,20000,2,2007,15,6230,15000,15000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,813741,2020010017427,58,2020008137411,39,0,500039,4,1,58,2,19,500,50000,2,2014,1,51,300,300,"Management, Business and Financial Operations"
2020,202001,813770,2020010018013,5,2020008137701,39,35,90839,4,1,5,2,21,300,30025,2,2012,18,5240,1100,1100,"Office and Administrative Support Occupations:"
2020,202001,813967,2020010022812,6,2020008139671,39,35,90939,4,1,6,2,19,500,50000,2,2014,13,3603,3000,3000,"Service Occupations"
2020,202001,813981,2020010023123,81,2020008139811,39,0,30039,3,1,81,2,77,300,30050,2,1976,52,0,18000,0,NA
2020,202001,814061,2020010024953,78,2020008140611,39,49,410539,4,1,78,2,20,500,50000,2,2001,19,5860,8400,8400,"Office and Administrative Support Occupations:"
2020,202001,814205,2020010028916,53,2020008142051,39,0,230039,3,1,53,2,78,499,49900,2,1983,58,0,16800,0,NA
2020,202001,814207,2020010028942,5,2020008142071,39,0,500039,4,1,5,2,19,500,50000,2,2014,1,51,300,300,"Management, Business and Financial Operations"
2020,202001,814258,2020010029951,51,2020008142581,39,0,280039,3,1,51,1,30,524,52400,2,2018,11,20,0,0,"Management, Business and Financial Operations"
2020,202001,814298,2020010030872,54,2020008142981,39,35,90239,4,1,54,2,19,500,50000,2,2014,13,3603,3000,3000,"Service Occupations"
2020,202001,814316,2020010031290,52,2020008143161,39,61,550439,4,1,52,1,18,600,60064,2,2010,11,4655,2000,2000,"Service Occupations"
2020,202001,814369,2020010032511,55,2020008143691,39,35,90839,4,1,55,1,20,200,20000,2,2018,19,4110,2000,2000,"Service Occupations"
2020,202001,814379,2020010032784,6,2020008143791,39,113,460139,4,1,6,1,49,500,50000,2,2008,29,9640,4400,4400,"Production, Transportation, and Material Moving Occupations"
2020,202001,814384,2020010032957,51,2020008143841,39,93,80239,3,1,51,1,42,210,21050,2,1986,40,7700,20000,20000,"Production, Transportation, and Material Moving Occupations"
2020,202001,814504,2020010036073,27,2020008145041,39,57,470039,4,1,27,1,21,515,51500,2,2017,8,3645,19000,19000,"Service Occupations"
2020,202001,814799,2020010043619,60,2020008147991,39,49,410539,4,1,60,2,20,500,50000,2,2001,19,5860,8400,8400,"Office and Administrative Support Occupations:"
2020,202001,814806,2020010043751,12,2020008148061,39,165,530139,4,1,12,1,48,515,51500,2,1995,30,7855,25600,25600,"Production, Transportation, and Material Moving Occupations"
2020,202001,814925,2020010046775,52,2020008149251,39,0,260039,3,1,52,1,34,200,20000,2,2007,15,6230,15000,15000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,815084,2020010051033,30,2020008150841,39,61,550439,4,1,30,2,20,518,51800,2,2001,19,2634,23800,23800,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,815214,2020010054195,47,2020008152141,39,17,540239,3,1,47,2,32,200,20000,2,2009,24,4020,0,0,"Service Occupations"
2020,202001,815222,2020010054371,63,2020008152221,39,61,550439,4,1,63,1,18,600,60064,2,2010,11,4655,2000,2000,"Service Occupations"
2020,202001,815297,2020010056245,16,2020008152971,39,93,80139,4,1,16,2,50,150,15000,2,1982,47,0,8000,0,NA
2020,202001,815331,2020010057051,63,2020008153311,39,35,90639,3,1,63,2,33,200,20000,2,2008,25,4020,0,0,"Service Occupations"
2020,202001,815404,2020010058907,22,2020008154041,39,113,460339,3,1,22,2,33,200,20000,2,2008,25,4020,0,0,"Service Occupations"
2020,202001,815508,2020010062076,46,2020008155081,39,0,420039,3,1,46,1,42,210,21050,2,1986,40,7700,20000,20000,"Production, Transportation, and Material Moving Occupations"
2020,202001,815561,2020010063638,28,2020008155611,39,0,50039,4,1,28,1,49,500,50000,2,2008,29,9640,4400,4400,"Production, Transportation, and Material Moving Occupations"
2020,202001,815569,2020010063810,36,2020008155691,39,0,350039,3,1,36,1,88,434,43400,2,1952,68,0,21600,0,NA
2020,202001,815839,2020010070782,52,2020008158391,39,0,280039,3,1,52,1,30,524,52400,2,2018,11,20,0,0,"Management, Business and Financial Operations"
2020,202001,816157,2020010078191,46,2020008161571,39,45,390039,3,1,46,1,42,210,21050,2,1986,40,7700,20000,20000,"Production, Transportation, and Material Moving Occupations"
2020,202001,816385,2020010083678,43,2020008163851,39,93,80239,3,1,43,1,34,200,20000,2,2007,15,6230,15000,15000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,816409,2020010084315,65,2020008164091,39,61,550139,4,1,65,1,18,600,60064,2,2010,11,4655,2000,2000,"Service Occupations"
2020,202001,816421,2020010084762,49,2020008164211,39,0,40039,3,1,49,2,77,300,30050,2,1976,52,0,18000,0,NA
2020,202001,816639,2020010090249,48,2020008166391,39,61,550439,4,1,48,2,20,518,51800,2,2001,19,2634,23800,23800,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,816858,2020010095640,15,2020008168581,39,35,90439,4,1,15,1,49,500,50000,2,2008,29,9640,4400,4400,"Production, Transportation, and Material Moving Occupations"
