"MET2013_NAME","TOTAL","Africa","Americas","Asia","Europe","Oceania","<NA>"
"New York-Newark-Jersey City, NY-NJ-PA",3859089,167773,1598354,1501568,586821,4014,559
"Los Angeles-Long Beach-Anaheim, CA",2590458,50784,972405,1425093,134745,7181,250
"Miami-Fort Lauderdale-West Palm Beach, FL",1598675,18207,1379826,106302,93595,745,0
"Not in identifiable area",1386861,76581,588891,472582,237352,10786,669
"San Francisco-Oakland-Hayward, CA",1083394,29497,171103,794031,73044,14198,1521
"Chicago-Naperville-Elgin, IL-IN-WI",961087,32158,317768,372626,237237,1183,115
"Washington-Arlington-Alexandria, DC-VA-MD-WV",859861,142198,233766,410853,70656,2388,0
"Houston-The Woodlands-Sugar Land, TX",743418,56312,341091,311590,33135,1290,0
"Boston-Cambridge-Newton, MA-NH",601822,58489,175521,262770,104128,914,0
"Riverside-San Bernardino-Ontario, CA",589998,16758,349725,196286,24477,2690,62
"Dallas-Fort Worth-Arlington, TX",585055,60221,221738,269417,32250,1429,0
"San Jose-Sunnyvale-Santa Clara, CA",486298,7346,66094,378956,30291,3611,0
"Atlanta-Sandy Springs-Roswell, GA",477568,71191,160252,204536,40927,662,0
"Seattle-Tacoma-Bellevue, WA",473825,38204,60300,298638,64276,12191,216
"San Diego-Carlsbad, CA",467720,13397,192051,216779,42718,2461,314
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",446154,43662,106566,219277,75934,715,0
"Phoenix-Mesa-Scottsdale, AZ",343741,15042,163140,116020,48249,1290,0
"Tampa-St. Petersburg-Clearwater, FL",302635,16602,168932,63637,51747,1717,0
"Detroit-Warren-Dearborn, MI",287623,12329,30011,181041,63647,595,0
"Las Vegas-Henderson-Paradise, NV",285033,13432,113448,134878,21486,1789,0
"Sacramento--Roseville--Arden-Arcade, CA",275149,5265,53404,171622,36608,8250,0
"Orlando-Kissimmee-Sanford, FL",273294,16551,166969,61573,27128,1073,0
"Minneapolis-St. Paul-Bloomington, MN-WI",250583,75685,40955,112442,21177,324,0
"Baltimore-Columbia-Towson, MD",187851,30318,33578,100684,23034,237,0
"Portland-Vancouver-Hillsboro, OR-WA",186037,12090,33692,96042,40759,3454,0
"Denver-Aurora-Lakewood, CO",184205,19919,58574,76459,27666,1484,103
"Austin-Round Rock, TX",150777,6952,61203,68844,13502,276,0
"Providence-Warwick, RI-MA",148483,18507,47818,28807,53351,0,0
"San Antonio-New Braunfels, TX",136555,3556,91655,33878,7127,339,0
"Urban Honolulu, HI",135014,1264,5617,118995,5475,3502,161
"Charlotte-Concord-Gastonia, NC-SC",124184,14680,49994,43936,15494,80,0
"El Paso, TX",114707,880,108246,2780,2620,181,0
"Bridgeport-Stamford-Norwalk, CT",109159,2038,48727,31652,26159,583,0
"Oxnard-Thousand Oaks-Ventura, CA",103028,911,58906,32801,9449,961,0
"Hartford-West Hartford-East Hartford, CT",102482,3329,37840,26822,34297,194,0
"Columbus, OH",102014,35697,10208,43434,11404,1271,0
"Fresno, CA",99879,2027,44832,49605,3155,260,0
"Stockton-Lodi, CA",94154,3983,34163,51954,2970,1084,0
"Cleveland-Elyria, OH",86808,5195,11403,36016,34194,0,0
"St. Louis, MO-IL",83647,7353,14713,41482,19984,115,0
"Raleigh, NC",80007,8838,19365,38754,12217,833,0
"McAllen-Edinburg-Mission, TX",78395,292,70745,7004,354,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC",75553,4795,22425,38174,9595,564,0
"Bakersfield, CA",74563,1365,48833,22075,2290,0,0
"Milwaukee-Waukesha-West Allis, WI",74292,6964,21662,36463,9045,158,0
"Kansas City, MO-KS",73790,9005,21353,34583,6535,2314,0
"Jacksonville, FL",73704,3694,29138,26834,13818,220,0
"Cape Coral-Fort Myers, FL",71020,708,52387,9102,8604,219,0
"Tucson, AZ",69537,3429,36072,18534,10289,1213,0
"Worcester, MA-CT",69428,15647,19785,22091,11905,0,0
"Salt Lake City, UT",66780,5903,23678,23947,9556,3696,0
"New Haven-Milford, CT",66337,4638,27110,17842,16747,0,0
"Indianapolis-Carmel-Anderson, IN",63487,9335,18285,27051,8621,195,0
"Cincinnati, OH-KY-IN",61083,7051,11363,27746,13796,1127,0
"Nashville-Davidson--Murfreesboro--Franklin, TN",61055,13117,15136,25501,7301,0,0
"Modesto, CA",60984,214,34073,21955,2478,2264,0
"North Port-Sarasota-Bradenton, FL",59326,637,27242,12744,18517,186,0
"Vallejo-Fairfield, CA",57824,677,16293,36543,3187,1124,0
"Salinas, CA",57175,187,28079,21751,6615,543,0
"Pittsburgh, PA",51798,6097,8408,22431,14510,352,0
"Allentown-Bethlehem-Easton, PA-NJ",48179,3231,23020,12619,9033,276,0
"Rochester, NY",47858,2711,11931,21819,11397,0,0
"Naples-Immokalee-Marco Island, FL",47854,881,32067,4961,9945,0,0
"Richmond, VA",47816,3386,14510,19792,9961,167,0
"New Orleans-Metairie, LA",46169,3111,17181,22492,3385,0,0
"Albany-Schenectady-Troy, NY",45827,2808,13461,18775,10783,0,0
