"state","Africa","Americas","Asia","Europe","Oceania","Unknown","Total_2014_2018","Total_2016_2022"
"Georgia","15510","34479","37773","8180","311","24","96469","116104"
"Arizona","4367","35307","18679","4939","308","20","63857","97094"
"Nevada","2510","20392","16170","3393","270","3","42976","60163"
"Pennsylvania","12476","22618","38095","11456","262","25","85083","120605"
"Florida","10493","340938","45253","31365","602","191","429017","627765"
"North Carolina","9893","25057","27916","7254","268","36","70579","94011"
"Wisconsin","2228","6268","9286","2864","94","7","20953","27785"
"Texas","33480","176930","117185","15055","907","112","343799","471340"
"Michigan","4544","9859","41676","9700","175","38","66177","84505"
"Virginia","17350","27382","47695","8272","306","31","101190","109021"
"Total","112851","699230","399728","102478","3503","487","1320100","1808393"
