State,Total Population,Naturalized 2016-2022,All Naturalized
California,39273649,1040776,5657921
Florida,21777656,627765,2698967
New York,19342277,551046,2580185
Texas,29354409,471340,2000521
New Jersey,8866369,240258,1165569
Massachusetts,6893349,169099,657446
Illinois,12559183,165155,933998
Maryland,6039168,129351,508153
Pennsylvania,12808018,120605,494359
Washington,7697393,119298,566509
Georgia,10735354,116104,541996
Virginia,8565201,109021,604187
Arizona,7439168,97094,460309
North Carolina,10634814,94011,352718
Michigan,10005488,84505,386131
Ohio,11696589,79933,303249
Minnesota,5637415,71578,269174
Nevada,3159862,60163,312099
Connecticut,3561894,59211,284376
Colorado,5801720,57647,253836
Oregon,4235391,48106,185528
Tennessee,6909363,40799,141226
Indiana,6755447,39997,149937
District of Columbia,708536,39838,42389
Missouri,6160572,36345,131860
Utah,3264928,28867,115118
South Carolina,5215144,28751,119050
Wisconsin,5838186,27785,144824
Kentucky,4477027,26155,69623
Oklahoma,4004290,25363,89990
Alabama,4922663,23496,72860
Iowa,3167157,23065,71565
Hawaii,1408226,22789,140328
Nebraska,1910229,21478,64058
Louisiana,4636548,20662,83004
Kansas,2917100,19334,80086
New Mexico,2103947,17988,76930
Rhode Island,1064254,17831,89039
Arkansas,3020858,12795,51959
Idaho,1845631,11278,50704
New Hampshire,1369826,10944,51231
Delaware,986302,6966,47754
Maine,1333280,6824,23442
Alaska,725368,6600,31031
Mississippi,2949108,4888,27911
Vermont,624318,4099,19026
North Dakota,762179,3569,14505
South Dakota,904399,3518,14625
Montana,1070633,2580,13056
West Virginia,1790562,2438,15737
Wyoming,574367,1274,8301
