state,Africa,Americas,Asia,Europe,Oceania,Unknown,Total 2016-2020,Total 2016-2022
Total,346882,1594967,1373056,346088,17902,1475,3694073,5106241
California,23614,298491,355638,48996,6633,233,733756,1040776
Florida,10493,340938,45253,31365,602,191,429017,627765
New York,29528,184528,142189,45464,964,116,402904,551046
Texas,33480,176930,117185,15055,907,112,343799,471340
New Jersey,16124,77969,63996,19314,242,88,177890,240258
Illinois,9313,37639,52143,28119,299,56,127720,165155
Massachusetts,18701,46336,38022,16782,327,61,120403,169099
Virginia,17350,27382,47695,8272,306,31,101190,109021
Georgia,15510,34479,37773,8180,311,24,96469,116104
Maryland,26428,24534,31914,5958,149,35,89165,129351
Washington,10223,19185,41417,14466,1411,12,86909,119298
Pennsylvania,12476,22618,38095,11456,262,25,85083,120605
North Carolina,9893,25057,27916,7254,268,36,70579,94011
Michigan,4544,9859,41676,9700,175,38,66177,84505
Arizona,4367,35307,18679,4939,308,20,63857,97094
