"state","margin_2020","margin_2016","margin_2012","average","wpa","n_foreign_born","senate_battle","gov_battle","house_battle"
"Alabama",0.254616529547425,0.277251466064354,0.221867892310703,0.251245295974161,0.599902060722059,197073,1,1,1
"Alaska",0.100611909993603,0.147306407874253,0.1398891828483,0.129269166905385,0.888505050059146,70759,1,1,1.5
"Arizona",0.00308709583901874,0.0354559462762784,0.0906476622417532,0.0430635681190168,1.36588998867417,1011554,2.5,2.5,1
"Arkansas",0.276206679031294,0.269209780344674,0.23687945782389,0.260765305733286,0.583750191049375,156133,1,1.5,1
"California",0.291632232685886,0.301092930661184,0.231185806209848,0.274636989852306,0.561240969623441,10806338,1,1,2.5
"Colorado",0.134069415057409,0.0490558301141636,0.0536513491256719,0.0789255314324148,1.10278248517362,611142,1.5,1,2.5
"Connecticut",0.200736132273528,0.136393867178951,0.173398990119394,0.170176329857291,0.769100846879224,549839,1,1.5,1.5
"Delaware",0.189681290225361,0.114305124663149,0.186281379110392,0.163422597999634,0.786687889615346,94154,1,1,1
"District of Columbia",0.867523725446921,0.864135007598176,0.836348225105867,0.856002319383655,0.067525058577335,99922,1,1,1
"Florida",0.033583688970618,0.0119862561078569,0.00876887306723165,0.0181129393819022,1.74201106632016,4758123,2,1.5,1
"Georgia",0.00235581884655077,0.0513134269741018,0.0782128251064244,0.0439606903090257,1.35693549652501,1206506,2.5,2.5,1.5
"Hawaii",0.291946655996026,0.315410908825035,0.42465784760236,0.344005137474474,0.463435071497789,272208,1,1,1
"Idaho",0.307711626770997,0.317694185482177,0.319074499366831,0.314826770540001,0.501928345552239,123974,1,1,1
"Illinois",0.169881945585021,0.17063613624968,0.168693940916602,0.169737340917101,0.770222605706412,1815172,1,1,2.5
"Indiana",0.16059480705993,0.191651937616592,0.101982294761661,0.151409679812728,0.819846358951728,398389,1,1,2.5
"Iowa",0.0815296477328204,0.0940954789918113,0.0581014802361299,0.0779088689869206,1.10841310031417,178799,1,1,1
"Kansas",0.146529592954326,0.206022110736051,0.217167498152971,0.189906400614449,0.721460397534225,214769,1,2.5,2.5
"Kentucky",0.259350570581364,0.298374502182523,0.226918137648758,0.261547736804215,0.582449033608992,195869,1,1,1
"Louisiana",0.186094256124823,0.196391185550548,0.172071121051721,0.184852187575697,0.733175405537547,203221,1,1,1
"Maine",0.0897435123535413,0.0286853601281008,0.150436421536568,0.0896217646727367,1.0475865089826,60125,1,2,2.5
"Maryland",0.332103732923284,0.264164395066451,0.260764584403731,0.285677570797822,0.544123855735979,1006674,1,2,2
"Massachusetts",0.332148261142344,0.267638623058161,0.230191860048816,0.27665958141644,0.558054284480256,1246770,1,1.5,1
"Michigan",0.0278352759968675,0.00223033269129312,0.0949728818309853,0.0416794968397153,1.38007753253613,740211,1,2.5,2.5
"Minnesota",0.0711015690057065,0.0151984085748962,0.0769410204657761,0.0544136660154596,1.26429201335802,470405,1,1.5,2.5
"Mississippi",0.165453481194039,0.178262498170515,0.114964871995918,0.152893617120158,0.815610644786215,74926,1,1,1
"Missouri",0.153908740427011,0.186371170029249,0.0938025759042376,0.144694162120166,0.83954899072024,275161,1,1,1
"Montana",0.163690998784112,0.205309730934268,0.136533980101147,0.168511569939842,0.773370275276165,30245,1,1,1.5
"Nebraska",0.190575323902662,0.250485947499902,0.217758777611191,0.219606683004585,0.658354447701677,168260,1,1,1.5
"Nevada",0.0239053463272462,0.0241712836051662,0.0668093382913694,0.0382953227412606,1.41685426602366,640565,2.5,2.5,2.5
"New Hampshire",0.0735156577547006,0.00367595687737137,0.055758876580231,0.044316830404101,1.35343130846089,95586,2,1,1
"New Jersey",0.159376728954645,0.141026977996647,0.177187900834932,0.159197202595408,0.798064567930334,2116122,1,1,1.5
"New Mexico",0.107926166034428,0.0821313284539138,0.101494338813766,0.097183944434036,1.01240547807429,199499,1,1.5,2.5
"New York",0.22930590695744,0.23745540294106,0.295193868466431,0.253985059454977,0.59519182978597,4532187,1,1,1
"North Carolina",0.0134812071093227,0.0365522852797094,0.020420955250754,0.0234848158799287,1.62921284031975,906924,2,1,2.5
"North Dakota",0.333572863779956,0.357288883726333,0.196183716695775,0.295681821400688,0.529175375196758,40898,1,1,1
"Ohio",0.0803196176016961,0.0812957439906617,0.029783067798973,0.0637994764637769,1.19518288506921,616919,2,1.5,2.5
"Oklahoma",0.330870975120763,0.363911845350835,0.335446394860331,0.343409738443976,0.46418739323884,274037,1,1,1
"Oregon",0.160860726077055,0.109778168183653,0.120894554762557,0.130511149674422,0.884352384607446,443248,1,1.5,2
"Pennsylvania",0.0116488363527566,0.00724269639183164,0.0539599166846626,0.024283816476417,1.61468305794291,987800,2.5,2,2.5
"Rhode Island",0.208058182943577,0.15508549070978,0.274572972924499,0.212572215525952,0.672493501018361,171504,1,1,2
"South Carolina",0.116766424193826,0.142659128960303,0.104730978484999,0.121385510546376,0.915833150701537,307917,1,1,1
"South Dakota",0.261641375361149,0.297933222190098,0.180231711171887,0.246602102907711,0.608003224263722,36412,1,1,1
"Tennessee",0.232088598952601,0.260057008955645,0.204028997261424,0.232058201723223,0.634403077535012,378922,1,1,1
"Texas",0.0557859368968214,0.0899942759832342,0.157836191842955,0.101205468241004,0.994796021461287,5116457,1,1.5,2.5
"Utah",0.204837904466135,0.180795479958314,0.480408672747287,0.288680685723912,0.539582271762246,279824,1,1,1
"Vermont",0.350747234262794,0.259633597219058,0.355979150656554,0.322119994046135,0.491982317606838,38186,1,1,1
"Virginia",0.101140135105203,0.0532370581949366,0.0387335389982952,0.0643702440994782,1.19131484397255,1183438,1,1,2.5
"Washington",0.192033233919598,0.157059998751891,0.148687768675636,0.165927000449042,0.780082937713383,1237753,1,1,2.5
"West Virginia",0.389350306800964,0.421536467938478,0.267565382630459,0.359484052456634,0.444320371160672,37916,1,1,1
"Wisconsin",0.00627099541818916,0.00764343195067453,0.0683781582153483,0.027430861861404,1.56176054690616,311387,2.5,2.5,1
"Wyoming",0.431119233904123,0.457695101782154,0.405566790718824,0.431460375468367,0.365059082928193,25568,1,1,1
