"state","margin_2020","margincount_2020","margin_2016","margincount_2016","margin_2012","margincount_2012","average","wpa"
"ALABAMA",0.254616529547425,591546,0.277251466064354,588708,0.221867892310703,460229,0.251245295974161,0.599902060722059
"ALASKA",0.100611909993603,36173,0.147306407874253,46933,0.1398891828483,42036,0.129269166905385,0.888505050059146
"ARIZONA",0.00308709583901874,10457,0.0354559462762784,91234,0.0906476622417532,208422,0.0430635681190168,1.36588998867417
"ARKANSAS",0.276206679031294,336715,0.269209780344674,304378,0.23687945782389,253335,0.260765305733286,0.583750191049375
"CALIFORNIA",0.291632232685886,5103821,0.301092930661184,4269978,0.231185806209848,3014327,0.274636989852306,0.561240969623441
"COLORADO",0.134069415057409,439745,0.0490558301141636,136386,0.0536513491256719,137858,0.0789255314324148,1.10278248517362
"CONNECTICUT",0.200736132273528,366114,0.136393867178951,224357,0.173398990119394,270191,0.170176329857291,0.769100846879224
"DELAWARE",0.189681290225361,95665,0.114305124663149,50476,0.186281379110392,77100,0.163422597999634,0.786687889615346
"DISTRICT OF COLUMBIA",0.867523725446921,298737,0.864135007598176,270107,0.836348225105867,245689,0.856002319383655,0.067525058577335
"FLORIDA",0.033583688970618,371686,0.0119862561078569,112911,0.00876887306723165,74309,0.0181129393819022,1.74201106632016
"GEORGIA",0.00235581884655077,11779,0.0513134269741018,211141,0.0782128251064244,304861,0.0439606903090257,1.35693549652501
"HAWAII",0.291946655996026,169266,0.315410908825035,138044,0.42465784760236,185643,0.344005137474474,0.463435071497789
"IDAHO",0.307711626770997,267098,0.317694185482177,219290,0.319074499366831,208124,0.314826770540001,0.501928345552239
"ILLINOIS",0.169881945585021,1025024,0.17063613624968,944714,0.168693940916602,884296,0.169737340917101,0.770222605706412
"INDIANA",0.16059480705993,487103,0.191651937616592,524160,0.101982294761661,267656,0.151409679812728,0.819846358951728
"IOWA",0.0815296477328204,138611,0.0940954789918113,147314,0.0581014802361299,91927,0.0779088689869206,1.10841310031417
"KANSAS",0.146529592954326,201083,0.206022110736051,244013,0.217167498152971,251908,0.189906400614449,0.721460397534225
"KENTUCKY",0.259350570581364,554172,0.298374502182523,574117,0.226918137648758,407820,0.261547736804215,0.582449033608992
"LOUISIANA",0.186094256124823,399742,0.196391185550548,398484,0.172071121051721,343121,0.184852187575697,0.733175405537547
"MAINE",0.0897435123535413,74335,0.0286853601281008,22142,0.150436421536568,109030,0.0896217646727367,1.0475865089826
"MARYLAND",0.332103732923284,1008609,0.264164395066451,734759,0.260764584403731,705975,0.285677570797822,0.544123855735979
"MASSACHUSETTS",0.332148261142344,1215000,0.267638623058161,904303,0.230191860048816,732976,0.27665958141644,0.558054284480256
"MICHIGAN",0.0278352759968675,154188,0.00223033269129312,10704,0.0949728818309853,449313,0.0416794968397153,1.38007753253613
"MINNESOTA",0.0711015690057065,233012,0.0151984085748962,44756,0.0769410204657761,225942,0.0544136660154596,1.26429201335802
"MISSISSIPPI",0.165453481194039,217366,0.178262498170515,215583,0.114964871995918,147797,0.152893617120158,0.815610644786215
"MISSOURI",0.153908740427011,465722,0.186371170029249,523443,0.0938025759042376,258644,0.144694162120166,0.83954899072024
"MONTANA",0.163690998784112,98816,0.205309730934268,101531,0.136533980101147,66089,0.168511569939842,0.773370275276165
"NEBRASKA",0.190575323902662,182263,0.250485947499902,211467,0.217758777611191,172983,0.219606683004585,0.658354447701677
"NEVADA",0.0239053463272462,33596,0.0241712836051662,27202,0.0668093382913694,67806,0.0382953227412606,1.41685426602366
"NEW HAMPSHIRE",0.0735156577547006,59267,0.00367595687737137,2736,0.055758876580231,39643,0.044316830404101,1.35343130846089
"NEW JERSEY",0.159376728954645,725061,0.141026977996647,546345,0.177187900834932,644698,0.159197202595408,0.798064567930334
"NEW MEXICO",0.107926166034428,99720,0.0821313284539138,65567,0.101494338813766,79547,0.097183944434036,1.01240547807429
"NEW YORK",0.22930590695744,1986187,0.23745540294106,1852647,0.295193868466431,2100831,0.253985059454977,0.59519182978597
"NORTH CAROLINA",0.0134812071093227,74481,0.0365522852797094,173315,0.020420955250754,92004,0.0234848158799287,1.62921284031975
"NORTH DAKOTA",0.333572863779956,120693,0.357288883726333,123036,0.196183716695775,63354,0.295681821400688,0.529175375196758
"OHIO",0.0803196176016961,475669,0.0812957439906617,446841,0.029783067798973,166214,0.0637994764637769,1.19518288506921
"OKLAHOMA",0.330870975120763,516390,0.363911845350835,528761,0.335446394860331,447778,0.343409738443976,0.46418739323884
"OREGON",0.160860726077055,381935,0.109778168183653,219703,0.120894554762557,216313,0.130511149674422,0.884352384607446
"PENNSYLVANIA",0.0116488363527566,80555,0.00724269639183164,44292,0.0539599166846626,309840,0.024283816476417,1.61468305794291
"RHODE ISLAND",0.208058182943577,107564,0.15508549070978,71982,0.274572972924499,122473,0.212572215525952,0.672493501018361
"SOUTH CAROLINA",0.116766424193826,293562,0.142659128960303,300016,0.104730978484999,205704,0.121385510546376,0.915833150701537
"SOUTH DAKOTA",0.261641375361149,110572,0.297933222190098,110263,0.180231711171887,65571,0.246602102907711,0.608003224263722
