"X","state","margin_2020","margincount_2020","margin_2018","margincount_2018","margin_2016","margincount_2016","margin_2014","margincount_2014","margin_2012","margincount_2012"
1,"ALABAMA",0.203586961917939,471598,NA,NA,0.280915320363085,586395,0,0,NA,NA
2,"ALASKA",0.127032293908124,45044,NA,NA,0.151951734036302,47324,0.0212960339943343,6014,NA,NA
3,"ARIZONA",0.0234869715349445,78806,0.0234449576145364,55900,0.129615565469252,328022,NA,NA,0.0302729490929482,67915
4,"ARKANSAS",0.330590708989902,394481,NA,NA,0.236006147056221,261382,0.170671559459826,144645,NA,NA
5,"CALIFORNIA",NA,NA,0.083276314894392,925480,0.232056235743215,2841336,NA,NA,0.250485689442892,3150737
6,"COLORADO",0.0932143309670899,301622,NA,NA,0.056649907784222,155392,0.01944481734473,39688,NA,NA
7,"CONNECTICUT",NA,NA,0.174474344553085,241968,0.230627410297467,368145,NA,NA,0.124631886987652,188414
8,"DELAWARE",0.215405298053714,105750,0.221345203424234,80258,NA,NA,0.136012100599048,31832,0.374656536688638,149715
9,"FLORIDA",NA,NA,0.0012250297771491,10033,0.0766627391198712,713103,NA,NA,0.130059953997255,1065184
10,"GEORGIA",0.017789759045268,88098,NA,NA,0.137505594949989,536080,0.0768270955154305,197277,NA,NA
11,"HAWAII",NA,NA,0.423021956941015,164281,0.488847609124808,213951,0.402542040502782,148821,0.248182011579311,108495
12,"IDAHO",0.293759093399021,252582,NA,NA,0.384079370433159,260768,0.306567239289064,134022,NA,NA
13,"ILLINOIS",0.160676144569997,959060,NA,NA,0.150813255502034,828248,0.108536960676494,391115,NA,NA
14,"INDIANA",NA,NA,0.0589017180233641,134447,0.0969952564385009,265044,NA,NA,0.0576383284728499,147560
15,"IOWA",0.0647821048978608,110138,NA,NA,0.244346660298656,376547,0.0833893954147119,94205,NA,NA
16,"KANSAS",0.114371360367902,156432,NA,NA,0.299371265669543,352636,0.106186741723246,91978,NA,NA
17,"KENTUCKY",0.195338110411104,417058,NA,NA,0.145487834028994,276931,0.154672295782064,222089,NA,NA
18,"LOUISIANA",0.40301311630992,834859,NA,NA,0.0943186973079554,188375,0.0429069395486979,151169,NA,NA
19,"MAINE",0.0850194071024562,70422,0.190843761674251,121073,NA,NA,0.361835408981582,223251,0.214125455348272,155181
20,"MARYLAND",NA,NA,0.345493630344769,794597,0.252130278009075,687350,NA,NA,0.296493589251848,780737
21,"MASSACHUSETTS",0.322592232651404,1180044,0.241647303931528,654161,NA,NA,0.227728418242455,497994,0.0748377298382386,238298
22,"MICHIGAN",0.0168503135196689,92335,0.0650560230865574,275660,NA,NA,0.132853114466116,414737,0.208136055696662,968440
23,"MINNESOTA",0.0523844398205992,168377,0.0753342762600799,195634,NA,NA,0.102435090495819,202978,0.347009908177632,986621
24,"MISSISSIPPI",0.0997594852343456,130820,0.0649957541803966,60850,NA,NA,0.220052606756581,139042,0.166047288589912,206159
